Symptom,Related_Symptoms
puffy_face_and_eyes,"fluid_overload, swollen_extremeties, swollen_legs"
enlarged_thyroid,"swelling_joints, fatigue, weight_gain"
brittle_nails,"inflammatory_nails, swelling_joints, drying_and_tingling_lips"
swollen_extremeties,"fluid_overload, swollen_legs, puffy_face_and_eyes"
excessive_hunger,"increased_appetite, polyuria, weight_gain"
extra_marital_contacts,"depression, anxiety, irritability"
drying_and_tingling_lips,"slurred_speech, brittle_nails, irritability"
slurred_speech,"dizziness, drying_and_tingling_lips, headache"
knee_pain,"joint_pain, muscle_pain, hip_joint_pain"
hip_joint_pain,"knee_pain, muscle_pain, joint_pain"
muscle_weakness,"fatigue, muscle_wasting, weakness_in_limbs"
stiff_neck,"neck_pain, joint_pain, back_pain"
swelling_joints,"joint_pain, bruising, pain_during_bowel_movements"
movement_stiffness,"joint_pain, stiff_neck, muscle_pain"
spinning_movements,"dizziness, headache, weakness_of_one_body_side"
loss_of_balance,"dizziness, spinning_movements, weakness_of_one_body_side"
unsteadiness,"dizziness, loss_of_balance, weakness_of_one_body_side"
weakness_of_one_body_side,"spinning_movements, loss_of_balance, unsteadiness"
loss_of_smell,"congestion, sinus_pressure, runny_nose"
bladder_discomfort,"spotting_urination, burning_micturition, foul_smell_of_urine"
foul_smell_of_urine,"bladder_discomfort, spotting_urination, burning_micturition"
continuous_feel_of_urine,"spotting_urination, burning_micturition, bladder_discomfort"
passage_of_gases,"abdominal_pain, stomach_pain, indigestion"
internal_itching,"itching, skin_rash, red_spots_over_body"
toxic_look_(typhos),"fever, headache, fatigue"
depression,"anxiety, irritability, mood_swings"
irritability,"anxiety, depression, mood_swings"
muscle_pain,"joint_pain, back_pain, stiff_neck"
altered_sensorium,"dizziness, spinning_movements, loss_of_balance"
red_spots_over_body,"skin_rash, nodal_skin_eruptions, internal_itching"
belly_pain,"abdominal_pain, stomach_pain, constipation"
abnormal_menstruation,"fatigue, mood_swings, depression"
dischromic _patches,"itching, skin_rash, red_spots_over_body"
watering_from_eyes,"redness_of_eyes, blurred_and_distorted_vision, sinus_pressure"
increased_appetite,"excessive_hunger, polyuria, weight_gain"
polyuria,"increased_appetite, excessive_hunger, weight_gain"
family_history,"depression, anxiety, irritability"
mucoid_sputum,"cough, phlegm, throat_irritation"
rusty_sputum,"cough, phlegm, throat_irritation"
lack_of_concentration,"fatigue, depression, anxiety"
visual_disturbances,"blurred_and_distorted_vision, headache, pain_behind_the_eyes"
receiving_blood_transfusion,"fever, chills, fatigue"
receiving_unsterile_injections,"fever, chills, fatigue"
coma,"altered_sensorium, dizziness, spinning_movements"
stomach_bleeding,"stomach_pain, abdominal_pain, vomiting"
distention_of_abdomen,"abdominal_pain, stomach_pain, fluid_overload"
history_of_alcohol_consumption,"fatigue, nausea, abdominal_pain"
blood_in_sputum,"cough, rusty_sputum, phlegm"
prominent_veins_on_calf,"painful_walking, swollen_legs, fluid_overload"
palpitations,"fast_heart_rate, anxiety, dizziness"
painful_walking,"joint_pain, hip_joint_pain, swollen_legs"
pus_filled_pimples,"skin_rash, itching, scurring"
blackheads,"pus_filled_pimples, skin_rash, scurring"
scurring,"pus_filled_pimples, skin_rash, blackheads"
skin_peeling,"itching, skin_rash, red_spots_over_body"
silver_like_dusting,"skin_rash, itching, scurring"
small_dents_in_nails,"brittle_nails, inflammatory_nails, swelling_joints"
inflammatory_nails,"brittle_nails, small_dents_in_nails, swelling_joints"
blister,"itching, skin_rash, red_spots_over_body"
red_sore_around_nose,"skin_rash, blister, yellow_crust_ooze"
yellow_crust_ooze,"red_sore_around_nose, blister, skin_rash"
